attack,alpha,seed,active_frac,gate_mean,final_loss,mse,psnr,corr
inverting_gradients,4.0,4,0.9996811151504517,0.4830425977706909,0.001922289258800447,0.07347775250673294,4.038809306220213,0.7993980646133423
dlg,4.0,5,0.0,0.0,0.5423045754432678,3.377641171533693e+18,-192.64567076072208,-0.09645882993936539
idlg,4.0,5,0.9685373902320862,0.4655398726463318,0.024632424116134644,0.563681960105896,-4.869877022957523,0.4598148763179779
inverting_gradients,4.0,5,0.9733205437660217,0.4632520377635956,0.009913514368236065,0.5581569671630859,-4.827099164400958,0.4122576415538788
dlg,4.0,6,0.996492326259613,0.40923556685447693,0.006896559614688158,0.06545858830213547,4.48079798768407,0.8326994180679321
idlg,4.0,6,0.0,1.3172618164318363e-33,8.608721733093262,249361039360.0,-121.32782165724836,0.0029598791152238846
inverting_gradients,4.0,6,0.9957482814788818,0.4091799259185791,0.002496543573215604,0.10412009060382843,2.4651189637323294,0.7433332800865173
dlg,4.0,7,0.0,0.0,1.2957360744476318,2670633213231104.0,-161.71711187001398,0.02841581404209137
idlg,4.0,7,0.0,9.782759491372417e-09,7.449644565582275,1452941440.0,-99.07345051866605,0.24415399134159088
inverting_gradients,4.0,7,0.987138569355011,0.3975347876548767,0.0008715108269825578,0.14916762709617615,0.8122847759929821,0.697181224822998
dlg,4.0,8,0.0,0.0,3.6264729499816895,1.1582663150710388e+32,-328.0583613729692,0.02954554744064808
idlg,4.0,8,0.9886266589164734,0.4372788369655609,0.025235779583454132,0.09812440723180771,2.661952427985867,0.7337654829025269
inverting_gradients,4.0,8,0.9838435053825378,0.4363855719566345,0.00413002073764801,0.11349593102931976,2.029919971834321,0.7098225951194763
dlg,4.0,9,0.9874574542045593,0.5035183429718018,0.03884565830230713,0.06929576396942139,4.2933010739715876,0.8140485286712646
idlg,4.0,9,0.9876700639724731,0.5049427151679993,0.03230666369199753,0.05938626825809479,4.963507587846616,0.8306902050971985
inverting_gradients,4.0,9,0.9862882494926453,0.49999895691871643,0.0019851617980748415,0.10353763401508331,2.5493855801952146,0.7590333223342896
dlg,4.0,10,0.0,0.0,1.3986362218856812,11387244904448.0,-137.89366718673304,-0.02619493007659912
idlg,4.0,10,0.9775722622871399,0.4688825309276581,0.028520939871668816,0.12103325873613358,1.8414721588744096,0.7101036310195923
inverting_gradients,4.0,10,0.9790603518486023,0.46717092394828796,0.007175722159445286,0.14081141352653503,1.1841408426014275,0.6677976846694946
dlg,4.0,11,0.9996811151504517,0.5197690725326538,0.01629161275923252,0.11590343713760376,2.1184933607680643,0.7173038721084595
idlg,4.0,11,0.0,1.5135954356537695e-07,3.4483659267425537,93774064.0,-86.96137086647398,0.12929004430770874
inverting_gradients,4.0,11,0.9997873902320862,0.5185379385948181,0.005505631677806377,0.11610107123851776,2.1110942441883913,0.7291125655174255
dlg,4.0,12,0.9905399680137634,0.4119892716407776,0.06366454064846039,0.19607168436050415,-0.3139489909976777,0.6059996485710144
